,hscode,volume,eight_bits
2734,10063030003,100,10063030
2735,10063040001,100,10063040
2736,10063040001,940,10063040
2737,10063040001,940,10063040
2738,10063040001,250,10063040
2739,10063040001,50,10063040
2740,10063030003,100,10063030
2741,10063030003,250,10063030
2742,10063040001,688,10063040
2743,10063040001,398,10063040
2744,10063040001,1155,10063040
2745,10063040001,1155,10063040
2746,10063040001,1155,10063040
2747,10063040001,768,10063040
2748,10063040001,1460,10063040
2749,10063040001,2190,10063040
2750,10063040001,4128,10063040
2751,10063040001,750,10063040
2752,10063040001,750,10063040
2753,10063040001,412,10063040
2754,10063040001,300,10063040
2755,10063040001,300,10063040
2756,10062090601,100,10062090
2757,10063040001,1100,10063040
2758,10063099010,1100,10063099
2759,10063030003,1075,10063030
2760,10063040001,1300,10063040
2761,10062010001,1950,10062010
2762,10062090612,7000,10062090
2763,10062090606,3250,10062090
2764,10062090618,3250,10062090
2765,10063040001,6804,10063040
2766,10063040001,6577,10063040
2767,10063040001,4536,10063040
2768,10063040001,5824,10063040
2769,10062010001,3276,10062010
2770,10063030003,2184,10063030
2771,10063030003,2268,10063030
2772,10063030003,4536,10063030
2773,10063091001,1250,10063091
2774,10064090019,2150,10064090
2775,10063040001,1270,10063040
2776,10063040001,62928,10063040
2777,10064090602,8000,10064090
2778,10063040001,2545,10063040
2779,10063030003,500,10063030
2780,10063040001,1750,10063040
2781,10063040001,17670,10063040
2782,10063040001,500,10063040
2783,10063040001,500,10063040
2784,10063040001,842,10063040
2785,10063040001,1842,10063040
2786,15119036000,220,15119036
2787,15119039000,10,15119039
2788,10063099010,1800,10063099
2789,10063099010,3600,10063099
2790,15119036000,6000,15119036
2791,15119036000,800,15119036
2792,15119036000,7080,15119036
2793,15119036000,8400,15119036
2794,10063099001,20,10063099
2795,10063040001,2000,10063040
2796,10051000000,4000,10051000
2797,10063040001,18285,10063040
2798,10063099001,17110,10063099
2799,10063099012,17208,10063099
2800,10062090010,17208,10062090
2801,10063099001,35339,10063099
2802,10063099001,54855,10063099
2803,10063040001,96000,10063040
2804,10063040001,1080,10063040
2805,10063040001,1080,10063040
2806,10063040001,4600,10063040
2807,15119036000,2440,15119036
2808,15119036000,4800,15119036
2809,15119036000,10800,15119036
2810,15119036000,12000,15119036
2811,15119036000,1760,15119036
2812,15119036000,3000,15119036
2813,15119036000,6000,15119036
2814,10063040001,1425,10063040
2815,10063040001,1664,10063040
2816,10063040001,1155,10063040
2817,10063040001,1155,10063040
2818,10062090613,1664,10062090
2819,10063040001,1338,10063040
2820,10063040001,869,10063040
2821,10063040001,1000,10063040
2822,10063040001,50,10063040
2823,10063040001,1000,10063040
2824,10063040001,938,10063040
2825,10063030003,32000,10063030
2826,10063040001,925,10063040
2827,10063040001,9200,10063040
2828,10063040001,850,10063040
2829,10063040001,3650,10063040
2830,10063030003,200,10063030
2831,10063030003,100,10063030
2832,10063030003,100,10063030
2833,10063040001,200,10063040
2834,10063040001,655,10063040
2835,10063099001,1581,10063099
2836,10063040001,1134,10063040
2837,10063040001,1134,10063040
2838,10063040001,1134,10063040
2839,10063040001,1678,10063040
2840,10063099001,1870,10063099
2841,10063099001,1000,10063099
2842,10063099001,500,10063099
2843,10063099012,1500,10063099
2844,10063099001,2200,10063099
2845,10063099001,840,10063099
2846,10063099010,940,10063099
2847,10063099090,1,10063099
2848,10063099090,4,10063099
2849,10063099090,1,10063099
2850,10063099090,1,10063099
2851,10063099090,1,10063099
2852,10063099090,1,10063099
2853,10063099090,1,10063099
2854,10063099090,1,10063099
2855,10063099090,1,10063099
2856,10063099090,1,10063099
2857,10063040001,1080,10063040
2858,10063040001,1080,10063040
2859,10063099001,500,10063099
2860,10063030003,1400,10063030
2861,10062090613,250,10062090
2862,10062090613,30,10062090
2863,10062010001,200,10062010
2864,10062010001,10,10062010
2865,10062090604,400,10062090
2866,10062090604,50,10062090
2867,10062010001,500,10062010
2868,10062010001,20,10062010
2869,10062010001,30,10062010
2870,10062090604,150,10062090
2871,10062090604,50,10062090
2872,10062010001,10,10062010
2873,10062010001,10,10062010
2874,10063099001,1000,10063099
2875,10063040001,22000,10063040
2876,10063099015,1200,10063099
2877,10063040001,725,10063040
2878,10063030003,150,10063030
