undefined,declaration_type,year_in_yy,month,running_no,item_no,origin_country_code,destination_country_code,transportation,tax_id,company_branch,customs_coordinates,product_statistic_code,product_statistic_code_unit,privilege_code,duty_rate_by_percent,duty_rate_by_condition,is_a_net_transaction_brought_back,use_the_rights_to_promote_investment,use_the_rights_bonded_warehouse,exercising_the_right_to_claim_duty_under_section_19_bis,use_the_right_reimport_reexport,use_the_right_freezone,use_the_right_epz,multiple_boat_declaration_approval_lists_or_claim_duty_compensation,import_or_export_date,payment_place_code,payment_number,payment_date,release_location_code,release_date,pickup_location_code,pickup_date,making_year,making_month,weigth,volume,value_in_baht,value_in_other_currency,currency_code,duty,vat,excise_tax,fee,ministry_of_commerce_fee,interior_tax,other_tax,excise_coordinate,excise_tax_by_percent,excise_tax_by_condition,import_or_export_customs_set,hscode
A029,Y,63,01,00304,0026,SE,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000015,00000000000001,0000000000000238,0000000000000008,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00304,0027,SE,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000013,00000000000001,0000000000000212,0000000000000007,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00305,0027,SE,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000015,00000000000001,0000000000000238,0000000000000008,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00305,0028,SE,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000013,00000000000001,0000000000000212,0000000000000007,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00305,0030,BJ,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000001,00000000000001,0000000000000001,0000000000000001,THB,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00309,0003,FR,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000004,00000000000001,0000000000000090,0000000000000003,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00309,0008,DE,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000002,00000000000001,0000000000000060,0000000000000002,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A029,Y,63,01,00315,0017,GB,SG,4,    0105533022910,0000,000010063099,090,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200130,1190,000000,20200129,1193,20200130,1190,20200130,2563,01,00000000000002,00000000000001,0000000000000006,0000000000000000,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      9PART3,000010063099090
A030,1,63,01,00344,0001,IN,IN,1,    0107536001702,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200219,2801,000000,20200130,2836,20200202,2801,20200205,2563,01,00000000019000,00000000000950,0000000000725772,0000000000024245,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A030,1,63,01,00353,0001,KW,KW,1,    0105551130745,0000,000010062090,504,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200219,0152,000000,20200130,0251,20200208,0250,20200209,2563,01,00000000003000,00000000000200,0000000000247861,0000000000008280,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010062090504
